/home/namancho/Geo-UPSplus/ViT/vit_basic.py:230: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  input_data = torch.tensor(item["input_fields"][0]).type(torch.float32)  # Shape: [Lx, Ly, F]
/home/namancho/Geo-UPSplus/ViT/vit_basic.py:231: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  output_data = torch.tensor(item["output_fields"][0]).type(torch.float32)  # Shape: [Lx, Ly, F]
Epoch 83/400 | Train Loss: 2.068047 | Test Loss: 11.384214
Epoch 84/400 | Train Loss: 2.054995 | Test Loss: 11.399809
Epoch 85/400 | Train Loss: 2.043451 | Test Loss: 11.398134
Epoch 86/400 | Train Loss: 2.031263 | Test Loss: 11.423237
Epoch 87/400 | Train Loss: 2.021326 | Test Loss: 11.393985
Epoch 88/400 | Train Loss: 2.015036 | Test Loss: 11.431795
Epoch 89/400 | Train Loss: 2.005708 | Test Loss: 11.415098
Epoch 90/400 | Train Loss: 1.996875 | Test Loss: 11.410324
Epoch 91/400 | Train Loss: 1.990147 | Test Loss: 11.380879
Epoch 92/400 | Train Loss: 1.983744 | Test Loss: 11.402745
Epoch 93/400 | Train Loss: 1.979828 | Test Loss: 11.407329
Epoch 94/400 | Train Loss: 1.973133 | Test Loss: 11.396633
Epoch 95/400 | Train Loss: 1.970187 | Test Loss: 11.410862
Epoch 96/400 | Train Loss: 1.966490 | Test Loss: 11.400740
Epoch 97/400 | Train Loss: 1.964778 | Test Loss: 11.400476
Epoch 98/400 | Train Loss: 1.961053 | Test Loss: 11.408478
Epoch 99/400 | Train Loss: 1.959910 | Test Loss: 11.406731
Epoch 100/400 | Train Loss: 1.957088 | Test Loss: 11.399963
Epoch 101/400 | Train Loss: 3.522638 | Test Loss: 11.817431
Epoch 102/400 | Train Loss: 3.239225 | Test Loss: 11.599585
Epoch 103/400 | Train Loss: 2.845519 | Test Loss: 11.510025
Epoch 104/400 | Train Loss: 2.656178 | Test Loss: 11.423257
Epoch 105/400 | Train Loss: 2.574287 | Test Loss: 11.309944
Epoch 106/400 | Train Loss: 2.517413 | Test Loss: 11.451976
Epoch 107/400 | Train Loss: 2.468051 | Test Loss: 11.483671
Epoch 108/400 | Train Loss: 2.417478 | Test Loss: 11.494268
Epoch 109/400 | Train Loss: 2.359593 | Test Loss: 11.513241
Epoch 110/400 | Train Loss: 2.324535 | Test Loss: 11.370570
Epoch 111/400 | Train Loss: 2.270030 | Test Loss: 11.283719
Epoch 112/400 | Train Loss: 2.220104 | Test Loss: 11.450410
Epoch 113/400 | Train Loss: 2.169949 | Test Loss: 11.311281
Epoch 114/400 | Train Loss: 2.114545 | Test Loss: 11.389474
Epoch 115/400 | Train Loss: 2.078500 | Test Loss: 11.291219
Epoch 116/400 | Train Loss: 2.030155 | Test Loss: 11.368397
Epoch 117/400 | Train Loss: 1.979329 | Test Loss: 11.308306
Epoch 118/400 | Train Loss: 1.944496 | Test Loss: 11.354451
Epoch 119/400 | Train Loss: 1.894428 | Test Loss: 11.266793
Epoch 120/400 | Train Loss: 1.853389 | Test Loss: 11.397839
Epoch 121/400 | Train Loss: 1.832097 | Test Loss: 11.329757
Epoch 122/400 | Train Loss: 1.783300 | Test Loss: 11.367297
Epoch 123/400 | Train Loss: 1.743376 | Test Loss: 11.283582
Epoch 124/400 | Train Loss: 1.712834 | Test Loss: 11.313815
Epoch 125/400 | Train Loss: 1.682024 | Test Loss: 11.303963
Epoch 126/400 | Train Loss: 1.655482 | Test Loss: 11.404630
Epoch 127/400 | Train Loss: 1.598579 | Test Loss: 11.310852
Epoch 128/400 | Train Loss: 1.557797 | Test Loss: 11.230523
Epoch 129/400 | Train Loss: 1.533474 | Test Loss: 11.278969
Epoch 130/400 | Train Loss: 1.497698 | Test Loss: 11.300885
Epoch 131/400 | Train Loss: 1.471276 | Test Loss: 11.349816
Epoch 132/400 | Train Loss: 1.440525 | Test Loss: 11.180513
Epoch 133/400 | Train Loss: 1.406709 | Test Loss: 11.259569
Epoch 134/400 | Train Loss: 1.381720 | Test Loss: 11.259190
Epoch 135/400 | Train Loss: 1.346324 | Test Loss: 11.265106
Epoch 136/400 | Train Loss: 1.327183 | Test Loss: 11.214195
Epoch 137/400 | Train Loss: 1.305156 | Test Loss: 11.274846
Epoch 138/400 | Train Loss: 1.278877 | Test Loss: 11.294123
Epoch 139/400 | Train Loss: 1.252075 | Test Loss: 11.104326
Epoch 140/400 | Train Loss: 1.225963 | Test Loss: 11.281576
Epoch 141/400 | Train Loss: 1.204643 | Test Loss: 11.236592
Epoch 142/400 | Train Loss: 1.181448 | Test Loss: 11.201099
Epoch 143/400 | Train Loss: 1.160450 | Test Loss: 11.240507
Epoch 144/400 | Train Loss: 1.141533 | Test Loss: 11.194645
