nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
        97, 2.461468700E+01, 0.000000000E+00, 0.000000000E+00
        98, 2.487107880E+01, 0.000000000E+00, 0.000000000E+00
        99, 2.512747061E+01, 0.000000000E+00, 0.000000000E+00
       100, 2.538386242E+01, 0.000000000E+00, 0.000000000E+00
       101, 2.564025422E+01, 0.000000000E+00, 0.000000000E+00
       102, 2.589664603E+01, 0.000000000E+00, 0.000000000E+00
       103, 2.615303784E+01, 0.000000000E+00, 0.000000000E+00
       104, 2.640942964E+01, 0.000000000E+00, 0.000000000E+00
       105, 2.666582145E+01, 0.000000000E+00, 0.000000000E+00
       106, 2.692221326E+01, 0.000000000E+00, 0.000000000E+00
       107, 2.717860506E+01, 0.000000000E+00, 0.000000000E+00
       108, 2.743499687E+01, 0.000000000E+00, 0.000000000E+00
       109, 2.769138867E+01, 0.000000000E+00, 0.000000000E+00
       110, 2.794778048E+01, 0.000000000E+00, 0.000000000E+00
       111, 2.820417229E+01, 0.000000000E+00, 0.000000000E+00
       112, 2.846056409E+01, 0.000000000E+00, 0.000000000E+00
       113, 2.871695590E+01, 0.000000000E+00, 0.000000000E+00
       114, 2.897334771E+01, 0.000000000E+00, 0.000000000E+00
       115, 2.922973951E+01, 0.000000000E+00, 0.000000000E+00
       116, 2.948613132E+01, 0.000000000E+00, 0.000000000E+00
       117, 2.974252312E+01, 0.000000000E+00, 0.000000000E+00
       118, 3.000000000E+01, 0.000000000E+00, 0.000000000E+00
       119, 2.540540906E-01, 2.503208163E-01, 4.217744528E+01
       120, 5.091510858E-01, 2.508706683E-01, 3.635983870E+01
       121, 2.974236998E+01, 2.512662064E-01, 8.541687096E+01
       122, 3.000000000E+01, 2.515098621E-01, 8.227046354E+01
       123, 2.948375751E+01, 2.516421121E-01, 8.840036458E+01
       124, 0.000000000E+00, 2.518367784E-01, 4.820093063E+01
       125, 2.845634357E+01, 2.520100963E-01, 9.897955365E+01
       126, 2.922669115E+01, 2.521147376E-01, 9.099819370E+01
       127, 2.871282696E+01, 2.524766602E-01, 9.623919684E+01
       128, 2.896934679E+01, 2.525240292E-01, 9.361040695E+01
       129, 7.637127971E-01, 2.534232024E-01, 3.375026336E+01
       130, 1.020176793E+00, 2.536970666E-01, 3.035015485E+01
       131, 1.276604695E+00, 2.538339549E-01, 2.767544173E+01
       132, 1.533014550E+00, 2.539023777E-01, 2.602137539E+01
       133, 1.789415380E+00, 2.539365784E-01, 2.551389260E+01
       134, 2.045811699E+00, 2.539536735E-01, 2.595027895E+01
       135, 2.302205761E+00, 2.539622184E-01, 2.705211844E+01
       136, 2.558598696E+00, 2.539664896E-01, 2.865918792E+01
       137, 2.814991066E+00, 2.539686245E-01, 3.080143872E+01
       138, 3.071383154E+00, 2.539696916E-01, 3.351696318E+01
       139, 3.327775102E+00, 2.539702250E-01, 3.668722407E+01
       140, 3.584166978E+00, 2.539704916E-01, 4.004828211E+01
       141, 3.840558820E+00, 2.539706249E-01, 4.338311715E+01
       142, 4.096950644E+00, 2.539706915E-01, 4.666344840E+01
       143, 4.353342459E+00, 2.539707248E-01, 4.997045396E+01
       144, 4.609734270E+00, 2.539707414E-01, 5.335321960E+01
       145, 4.866126078E+00, 2.539707498E-01, 5.680462264E+01
       146, 5.122517886E+00, 2.539707539E-01, 6.034142812E+01
       147, 5.378909692E+00, 2.539707560E-01, 6.404383506E+01
       148, 5.635301499E+00, 2.539707570E-01, 6.803799907E+01
       149, 5.891693305E+00, 2.539707576E-01, 7.242216716E+01
       150, 6.148085112E+00, 2.539707578E-01, 7.722102123E+01
       151, 6.404476918E+00, 2.539707579E-01, 8.236641555E+01
       152, 6.660868724E+00, 2.539707580E-01, 8.774720932E+01
       153, 6.917260531E+00, 2.539707580E-01, 9.325650317E+01
       154, 7.173652337E+00, 2.539707581E-01, 9.882281290E+01
       155, 7.430044143E+00, 2.539707581E-01, 1.044061836E+02
       156, 7.686435949E+00, 2.539707581E-01, 1.099879672E+02
       157, 7.942827756E+00, 2.539707581E-01, 1.155592791E+02
       158, 8.199219562E+00, 2.539707581E-01, 1.211163344E+02
       159, 8.455611368E+00, 2.539707581E-01, 1.266525185E+02
       160, 8.712003175E+00, 2.539707581E-01, 1.321526586E+02
       161, 8.968394981E+00, 2.539707581E-01, 1.375837407E+02
       162, 9.224786787E+00, 2.539707581E-01, 1.428925489E+02
       163, 9.481178593E+00, 2.539707581E-01, 1.480060994E+02
       164, 9.737570400E+00, 2.539707581E-01, 1.528341593E+02
       165, 9.993962206E+00, 2.539707581E-01, 1.572727380E+02
       166, 1.025035401E+01, 2.539707581E-01, 1.612068943E+02
       167, 1.050674582E+01, 2.539707581E-01, 1.645245806E+02
       168, 1.076313762E+01, 2.539707581E-01, 1.671212813E+02
       169, 1.101952943E+01, 2.539707581E-01, 1.689664949E+02
       170, 1.127592124E+01, 2.539707581E-01, 1.700799264E+02
       171, 1.153231304E+01, 2.539707581E-01, 1.704772803E+02
       172, 1.178870485E+01, 2.539707581E-01, 1.702885988E+02
       173, 1.204509666E+01, 2.539707581E-01, 1.696974381E+02
       174, 1.230148846E+01, 2.539707581E-01, 1.688042004E+02
       175, 1.255788027E+01, 2.539707581E-01, 1.676856594E+02
       176, 1.281427208E+01, 2.539707581E-01, 1.663944388E+02
       177, 1.307066388E+01, 2.539707581E-01, 1.649520685E+02
       178, 1.332705569E+01, 2.539707581E-01, 1.633826103E+02
       179, 1.358344749E+01, 2.539707581E-01, 1.617390576E+02
       180, 1.383983930E+01, 2.539707581E-01, 1.601439877E+02
       181, 1.409623111E+01, 2.539707581E-01, 1.587522686E+02
       182, 1.435262291E+01, 2.539707581E-01, 1.577779540E+02
       183, 1.460901472E+01, 2.539707581E-01, 1.574301887E+02
       184, 1.486540653E+01, 2.539707581E-01, 1.577397509E+02
       185, 1.512179833E+01, 2.539707581E-01, 1.585932516E+02
       186, 1.537819014E+01, 2.539707581E-01, 1.598237396E+02
       187, 1.563458194E+01, 2.539707581E-01, 1.612368149E+02
       188, 1.589097375E+01, 2.539707581E-01, 1.626322447E+02
       189, 1.614736556E+01, 2.539707581E-01, 1.638700277E+02
       190, 1.640375736E+01, 2.539707581E-01, 1.648803597E+02
       191, 1.666014917E+01, 2.539707581E-01, 1.656315622E+02
       192, 1.691654098E+01, 2.539707581E-01, 1.660959668E+02
       193, 1.717293278E+01, 2.539707581E-01, 1.662726820E+02
       194, 1.742932459E+01, 2.539707581E-01, 1.662034222E+02
       195, 1.768571639E+01, 2.539707581E-01, 1.659356718E+02
       196, 1.794210820E+01, 2.539707581E-01, 1.655021681E+02
       197, 1.819850001E+01, 2.539707581E-01, 1.649203420E+02
       198, 1.845489181E+01, 2.539707581E-01, 1.642007424E+02
       199, 1.871128362E+01, 2.539707581E-01, 1.633527899E+02
       200, 1.896767543E+01, 2.539707581E-01, 1.625006447E+02
       201, 1.922406723E+01, 2.539707581E-01, 1.619318280E+02
       202, 1.948045904E+01, 2.539707581E-01, 1.619117847E+02
       203, 1.973685084E+01, 2.539707581E-01, 1.624743284E+02
       204, 1.999324265E+01, 2.539707581E-01, 1.634382446E+02
       205, 2.024963446E+01, 2.539707581E-01, 1.644841289E+02
       206, 2.050602626E+01, 2.539707581E-01, 1.651583492E+02
       207, 2.076241807E+01, 2.539707581E-01, 1.651158099E+02
